דוחות כספיים - פרטנר  (אלפי ש"ח),,,
שם,ספטמבר 2021,ספטמבר 2020,שנתי 2020
מאזן
סך מאזן,"5,061,000","5,127,000","5,125,000"
נכסים שוטפים,"1,515,000","1,775,000","1,496,000"
נכסים בלתי שוטפים,"3,546,000","3,352,000","3,629,000"
הון עצמי,"1,769,000","1,714,000","1,723,000"
מזה: זכויות מיעוט,0,0,0
התחייבויות שוטפות,"1,493,000","1,375,000","1,334,000"
התחייבויות בלתי שוטפות,"1,799,000","2,038,000","2,068,000"
דוח רווח והפסד
סה''כ הכנסות,"2,510,000","2,381,000","3,189,000"
רווח גולמי,"456,000","396,000","525,000"
רווח תפעולי,"107,000","76,000","96,000"
רווח לפני מס,"57,000","20,000","27,000"
רווח נקי,"38,000","12,000","17,000"
רווח נקי מיוחס לבעלי מניות,"38,000","12,000","17,000"
רווח נקי בסיסי למניה,0.21,0.06,0.09
נתונים נוספים
דיבידנד,0,0,0
מזומנים נטו מפעילות שוטפת,"611,000","604,000","786,000"
יחסים פיננסים
שוק להון,2.78,---,---
מכפיל,114.45,---,---
הון למאזן,35.0 %,---,33.6 %
תשואה להון,2.5 %,---,1.6 %


